"year","beaver_mean_height","beaver_n","fall_mean_height","fall_n","elk_mean","elk_lwr_cl","elk_upr_cl","wolf_mean_population"
2015,221.533604887984,491,216.927113702624,347,2170,1433,3334,65.3333333333333
2016,210.069892473118,372,220.737160120846,337,2102,1513,3056.03,72
2017,210.619623655914,744,226.290102389078,302,1986,1396.98,2791.03,64.6666666666667
2018,222.4332247557,921,232.314685314685,317,2086,1851,2788.08,53.3333333333333
2019,210.274678111588,699,206.785714285714,228,2016,1354,2984.03,62.6666666666667
2001,NA,NA,100.338383838384,199,11936,7126.95,25201.43,87.3333333333333
2002,NA,NA,104.980544747082,259,10662,8588,16705.08,98.6666666666667
2003,NA,NA,111.28515625,259,9215,6961.98,14575,115.333333333333
2004,NA,NA,118.019607843137,259,7974,6255,11188.05,114
2005,NA,NA,138.328125,257,6663,5177,9481.03,78.6666666666667
2006,NA,NA,147.517647058824,258,5658,3981.93,7738,90.6666666666667
2007,NA,NA,154.0390625,258,5329,4459,7182.03,114
2008,NA,NA,153.674922600619,332,4836,3528.98,6946.03,83.3333333333333
2009,NA,NA,159.611267605634,357,4575,3806,6935.15,64
2010,NA,NA,171.323033707865,360,3714,2630,5561.03,64.6666666666667
2011,NA,NA,176.493902439025,330,3273,2571,4573.03,65.3333333333333
2012,NA,NA,190.234234234234,344,2686,1655,4055.03,55.3333333333333
2013,NA,NA,195.96501457726,346,2368,1477,3628.03,63.3333333333333
2014,NA,NA,200.248571428572,356,2271,1437,3669.08,69.3333333333333
2020,NA,NA,251.522151898734,338,1904,1361,3035.05,82
1990,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,16910,10449.88,24910.13,14
1996,NA,NA,NA,NA,16297,9036.7,26937.03,24
1997,NA,NA,NA,NA,15657,9034.98,25746.08,42.6666666666667
1998,NA,NA,NA,NA,14301,8679.93,23614.03,55.3333333333333
1999,NA,NA,NA,NA,13422,7556.95,20487.25,48
2000,NA,NA,NA,NA,12835,6664.88,22061.05,78
2021,NA,NA,NA,NA,1908,1179,3133,64.6666666666667
2022,NA,NA,NA,NA,1902,1108,3192,NA
2023,NA,NA,NA,NA,1854,1078,3208,NA
